V1	V2	V3	father
12597	R-HSA-2453864	Retinoid cycle disease events	Homo sapiens	Disease
12598	R-HSA-975634	Retinoid metabolism and transport	Homo sapiens	Metabolism
12599	R-HSA-6809583	Retinoid metabolism disease events	Homo sapiens	Disease
12600	R-HSA-177504	Retrograde neurotrophin signalling	Homo sapiens	Signal Transduction
12601	R-HSA-6811440	Retrograde transport at the Trans-Golgi-Network	Homo sapiens	Vesicle-mediated transport
12602	R-HSA-888593	Reuptake of GABA	Homo sapiens	Neuronal System
12603	R-HSA-165054	Rev-mediated nuclear export of HIV RNA	Homo sapiens	Disease
12604	R-HSA-73943	Reversal of alkylation damage by DNA dioxygenases	Homo sapiens	DNA Repair
12605	R-HSA-162589	Reverse Transcription of HIV RNA	Homo sapiens	Disease
12606	R-HSA-9729902	Reversible DNA damage induced by alkylating chemotherapeutic drugs	Homo sapiens	DNA Repair
12607	R-HSA-1475029	Reversible hydration of carbon dioxide	Homo sapiens	Metabolism
12608	R-HSA-9037628	Rhesus blood group biosynthesis	Homo sapiens	Metabolism
12609	R-HSA-444411	Rhesus glycoproteins mediate ammonium transport.	Homo sapiens	Transport of small molecules
12610	R-HSA-9755088	Ribavirin ADME	Homo sapiens	Drug ADME
12611	R-HSA-72702	Ribosomal scanning and start codon recognition	Homo sapiens	Metabolism of proteins
12612	R-HSA-428890	Role of ABL in ROBO-SLIT signaling	Homo sapiens	Developmental Biology
12613	R-HSA-2730905	Role of LAT2/NTAL/LAB on calcium mobilization	Homo sapiens	Immune System
12614	R-HSA-2029485	Role of phospholipids in phagocytosis	Homo sapiens	Immune System
12615	R-HSA-418890	Role of second messengers in netrin-1 signaling	Homo sapiens	Developmental Biology
12616	R-HSA-69242	S Phase	Homo sapiens	Cell Cycle
12617	R-HSA-9679506	SARS-CoV Infections	Homo sapiens	Disease
12618	R-HSA-9679514	SARS-CoV-1 Genome Replication and Transcription	Homo sapiens	Disease
12619	R-HSA-9678108	SARS-CoV-1 Infection	Homo sapiens	Disease
12620	R-HSA-9692916	SARS-CoV-1 activates/modulates innate immune responses	Homo sapiens	Disease
12621	R-HSA-9735869	SARS-CoV-1 modulates host translation machinery	Homo sapiens	Disease
12622	R-HSA-9692912	SARS-CoV-1 targets PDZ proteins in cell-cell junction	Homo sapiens	Disease
12623	R-HSA-9735871	SARS-CoV-1 targets host intracellular signalling and regulatory pathways	Homo sapiens	Disease
12624	R-HSA-9692914	SARS-CoV-1-host interactions	Homo sapiens	Disease
12625	R-HSA-9692913	SARS-CoV-1-mediated effects on programmed cell death	Homo sapiens	Disease
12626	R-HSA-9694682	SARS-CoV-2 Genome Replication and Transcription	Homo sapiens	Disease
12627	R-HSA-9694516	SARS-CoV-2 Infection	Homo sapiens	Disease
12628	R-HSA-9705671	SARS-CoV-2 activates/modulates innate and adaptive immune responses	Homo sapiens	Disease
12629	R-HSA-9754560	SARS-CoV-2 modulates autophagy	Homo sapiens	Disease
12630	R-HSA-9754678	SARS-CoV-2 modulates host translation machinery	Homo sapiens	Disease
12631	R-HSA-9705677	SARS-CoV-2 targets PDZ proteins in cell-cell junction	Homo sapiens	Disease
12632	R-HSA-9755779	SARS-CoV-2 targets host intracellular signalling and regulatory pathways	Homo sapiens	Disease
12633	R-HSA-9705683	SARS-CoV-2-host interactions	Homo sapiens	Disease
12634	R-HSA-187577	SCF(Skp2)-mediated degradation of p27/p21	Homo sapiens	Cell Cycle
12635	R-HSA-174113	SCF-beta-TrCP mediated degradation of Emi1	Homo sapiens	Cell Cycle
12636	R-HSA-373756	SDK interactions	Homo sapiens	Cell-Cell communication
12637	R-HSA-399955	SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion	Homo sapiens	Developmental Biology
12638	R-HSA-5654688	SHC-mediated cascade:FGFR1	Homo sapiens	Signal Transduction
12639	R-HSA-5654699	SHC-mediated cascade:FGFR2	Homo sapiens	Signal Transduction
12640	R-HSA-5654704	SHC-mediated cascade:FGFR3	Homo sapiens	Signal Transduction
12641	R-HSA-5654719	SHC-mediated cascade:FGFR4	Homo sapiens	Signal Transduction
12642	R-HSA-2428933	SHC-related events triggered by IGF1R	Homo sapiens	Signal Transduction
12643	R-HSA-180336	SHC1 events in EGFR signaling	Homo sapiens	Signal Transduction
12644	R-HSA-1250196	SHC1 events in ERBB2 signaling	Homo sapiens	Signal Transduction
12645	R-HSA-1250347	SHC1 events in ERBB4 signaling	Homo sapiens	Signal Transduction
12646	R-HSA-9726840	SHOC2 M1731 mutant abolishes MRAS complex function	Homo sapiens	Disease
12647	R-HSA-427359	SIRT1 negatively regulates rRNA expression	Homo sapiens	Gene expression (Transcription)
12648	R-HSA-77588	SLBP Dependent Processing of Replication-Dependent Histone Pre-mRNAs	Homo sapiens	Metabolism of RNA
12649	R-HSA-111367	SLBP independent Processing of Histone Pre-mRNAs	Homo sapiens	Metabolism of RNA
12650	R-HSA-5619102	SLC transporter disorders	Homo sapiens	Disease
12651	R-HSA-425407	SLC-mediated transmembrane transport	Homo sapiens	Transport of small molecules
12652	R-HSA-8985586	SLIT2:ROBO1 increases RHOA activity	Homo sapiens	Developmental Biology
12653	R-HSA-111463	SMAC (DIABLO) binds to IAPs 	Homo sapiens	Programmed Cell Death
12654	R-HSA-111464	SMAC(DIABLO)-mediated dissociation of IAP:caspase complexes 	Homo sapiens	Programmed Cell Death
12655	R-HSA-111469	SMAC, XIAP-regulated apoptotic response	Homo sapiens	Programmed Cell Death
12656	R-HSA-3315487	SMAD2/3 MH2 Domain Mutants in Cancer	Homo sapiens	Disease
12657	R-HSA-3304356	SMAD2/3 Phosphorylation Motif Mutants in Cancer	Homo sapiens	Disease
12658	R-HSA-2173796	SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription	Homo sapiens	Gene expression (Transcription)_Signal Transduction
12659	R-HSA-3311021	SMAD4 MH2 Domain Mutants in Cancer	Homo sapiens	Disease
12660	R-HSA-112412	SOS-mediated signalling	Homo sapiens	Signal Transduction
12661	R-HSA-1799339	SRP-dependent cotranslational protein targeting to membrane	Homo sapiens	Metabolism of proteins
12662	R-HSA-9701898	STAT3 nuclear events downstream of ALK signaling	Homo sapiens	Signal Transduction
12663	R-HSA-9645135	STAT5 Activation	Homo sapiens	Immune System
12664	R-HSA-9702518	STAT5 activation downstream of FLT3 ITD mutants	Homo sapiens	Disease
12665	R-HSA-3249367	STAT6-mediated induction of chemokines	Homo sapiens	Immune System
12666	R-HSA-1834941	STING mediated induction of host immune responses	Homo sapiens	Immune System
12667	R-HSA-3108232	SUMO E3 ligases SUMOylate target proteins	Homo sapiens	Metabolism of proteins
12668	R-HSA-3065676	SUMO is conjugated to E1 (UBA2:SAE1)	Homo sapiens	Metabolism of proteins
12669	R-HSA-3065679	SUMO is proteolytically processed	Homo sapiens	Metabolism of proteins
12670	R-HSA-3065678	SUMO is transferred from E1 to E2 (UBE2I, UBC9)	Homo sapiens	Metabolism of proteins
12671	R-HSA-2990846	SUMOylation	Homo sapiens	Metabolism of proteins
12672	R-HSA-3108214	SUMOylation of DNA damage response and repair proteins	Homo sapiens	Metabolism of proteins
12673	R-HSA-4655427	SUMOylation of DNA methylation proteins	Homo sapiens	Metabolism of proteins
12674	R-HSA-4615885	SUMOylation of DNA replication proteins	Homo sapiens	Metabolism of proteins
12675	R-HSA-4570464	SUMOylation of RNA binding proteins	Homo sapiens	Metabolism of proteins
12676	R-HSA-4085377	SUMOylation of SUMOylation proteins	Homo sapiens	Metabolism of proteins
12677	R-HSA-4551638	SUMOylation of chromatin organization proteins	Homo sapiens	Metabolism of proteins
12678	R-HSA-4755510	SUMOylation of immune response proteins	Homo sapiens	Metabolism of proteins
12679	R-HSA-4090294	SUMOylation of intracellular receptors	Homo sapiens	Metabolism of proteins
12680	R-HSA-9793242	SUMOylation of nuclear envelope proteins	Homo sapiens	Metabolism of proteins
12681	R-HSA-3899300	SUMOylation of transcription cofactors	Homo sapiens	Metabolism of proteins
12682	R-HSA-3232118	SUMOylation of transcription factors	Homo sapiens	Metabolism of proteins
12683	R-HSA-3232142	SUMOylation of ubiquitinylation proteins	Homo sapiens	Metabolism of proteins
12684	R-HSA-3000480	Scavenging by Class A Receptors	Homo sapiens	Vesicle-mediated transport
12685	R-HSA-3000471	Scavenging by Class B Receptors	Homo sapiens	Vesicle-mediated transport
12686	R-HSA-3000484	Scavenging by Class F Receptors	Homo sapiens	Vesicle-mediated transport
12687	R-HSA-3000497	Scavenging by Class H Receptors	Homo sapiens	Vesicle-mediated transport
12688	R-HSA-2168880	Scavenging of heme from plasma	Homo sapiens	Vesicle-mediated transport
12689	R-HSA-9668328	Sealing of the nuclear envelope (NE) by ESCRT-III	Homo sapiens	Cell Cycle
12690	R-HSA-9663891	Selective autophagy	Homo sapiens	Autophagy
12691	R-HSA-2408522	Selenoamino acid metabolism	Homo sapiens	Metabolism
12692	R-HSA-2408557	Selenocysteine synthesis	Homo sapiens	Metabolism
12693	R-HSA-399954	Sema3A PAK dependent Axon repulsion	Homo sapiens	Developmental Biology
12694	R-HSA-400685	Sema4D in semaphorin signaling	Homo sapiens	Developmental Biology
12695	R-HSA-416572	Sema4D induced cell migration and growth-cone collapse	Homo sapiens	Developmental Biology
12696	R-HSA-416550	Sema4D mediated inhibition of cell attachment and migration	Homo sapiens	Developmental Biology
12697	R-HSA-373755	Semaphorin interactions	Homo sapiens	Developmental Biology
12698	R-HSA-2559582	Senescence-Associated Secretory Phenotype (SASP)	Homo sapiens	Cellular responses to stimuli
12699	R-HSA-5693548	Sensing of DNA Double Strand Breaks	Homo sapiens	DNA Repair
12700	R-HSA-9709957	Sensory Perception	Homo sapiens	Sensory Perception
12701	R-HSA-9730628	Sensory perception of salty taste	Homo sapiens	Sensory Perception
12702	R-HSA-9729555	Sensory perception of sour taste	Homo sapiens	Sensory Perception
12703	R-HSA-9717207	Sensory perception of sweet, bitter, and umami (glutamate) taste	Homo sapiens	Sensory Perception
12704	R-HSA-9717189	Sensory perception of taste	Homo sapiens	Sensory Perception
12705	R-HSA-9659379	Sensory processing of sound	Homo sapiens	Sensory Perception
12706	R-HSA-9662360	Sensory processing of sound by inner hair cells of the cochlea	Homo sapiens	Sensory Perception
12707	R-HSA-9662361	Sensory processing of sound by outer hair cells of the cochlea	Homo sapiens	Sensory Perception
12708	R-HSA-2467813	Separation of Sister Chromatids	Homo sapiens	Cell Cycle
12709	R-HSA-977347	Serine biosynthesis	Homo sapiens	Metabolism
12710	R-HSA-181429	Serotonin Neurotransmitter Release Cycle	Homo sapiens	Neuronal System
12711	R-HSA-209931	Serotonin and melatonin biosynthesis	Homo sapiens	Metabolism
12712	R-HSA-380615	Serotonin clearance from the synaptic cleft	Homo sapiens	Neuronal System
12713	R-HSA-390666	Serotonin receptors	Homo sapiens	Signal Transduction
12714	R-HSA-3282872	Severe congenital neutropenia type 4 (G6PC3)	Homo sapiens	Disease
12715	R-HSA-4085001	Sialic acid metabolism	Homo sapiens	Metabolism of proteins
12716	R-HSA-162582	Signal Transduction	Homo sapiens	Signal Transduction
12717	R-HSA-392518	Signal amplification	Homo sapiens	Hemostasis
12718	R-HSA-74749	Signal attenuation	Homo sapiens	Signal Transduction
12719	R-HSA-391160	Signal regulatory protein family interactions	Homo sapiens	Cell-Cell communication
12720	R-HSA-445144	Signal transduction by L1	Homo sapiens	Developmental Biology
12721	R-HSA-201556	Signaling by ALK	Homo sapiens	Signal Transduction
12722	R-HSA-9725370	Signaling by ALK fusions and activated point mutants	Homo sapiens	Disease
12723	R-HSA-9700206	Signaling by ALK in cancer	Homo sapiens	Disease
12724	R-HSA-4839748	Signaling by AMER1 mutants	Homo sapiens	Disease
12725	R-HSA-4839744	Signaling by APC mutants	Homo sapiens	Disease
12726	R-HSA-4839735	Signaling by AXIN mutants	Homo sapiens	Disease
12727	R-HSA-1502540	Signaling by Activin	Homo sapiens	Signal Transduction
12728	R-HSA-201451	Signaling by BMP	Homo sapiens	Signal Transduction
12729	R-HSA-6802952	Signaling by BRAF and RAF1 fusions	Homo sapiens	Disease
12730	R-HSA-9680350	Signaling by CSF1 (M-CSF) in myeloid cells	Homo sapiens	Immune System
12731	R-HSA-9674555	Signaling by CSF3 (G-CSF)	Homo sapiens	Immune System
12732	R-HSA-4839743	Signaling by CTNNB1 phospho-site mutants	Homo sapiens	Disease
12733	R-HSA-177929	Signaling by EGFR	Homo sapiens	Signal Transduction
12734	R-HSA-1643713	Signaling by EGFR in Cancer	Homo sapiens	Disease
12735	R-HSA-5637812	Signaling by EGFRvIII in Cancer	Homo sapiens	Disease
12736	R-HSA-1227986	Signaling by ERBB2	Homo sapiens	Signal Transduction
12737	R-HSA-9665348	Signaling by ERBB2 ECD mutants	Homo sapiens	Disease
12738	R-HSA-9664565	Signaling by ERBB2 KD Mutants	Homo sapiens	Disease
12739	R-HSA-9665686	Signaling by ERBB2 TMD/JMD mutants	Homo sapiens	Disease
12740	R-HSA-1227990	Signaling by ERBB2 in Cancer	Homo sapiens	Disease
12741	R-HSA-1236394	Signaling by ERBB4	Homo sapiens	Signal Transduction
12742	R-HSA-9006335	Signaling by Erythropoietin	Homo sapiens	Signal Transduction
12743	R-HSA-190236	Signaling by FGFR	Homo sapiens	Signal Transduction
12744	R-HSA-1226099	Signaling by FGFR in disease	Homo sapiens	Disease
12745	R-HSA-5654736	Signaling by FGFR1	Homo sapiens	Signal Transduction
12746	R-HSA-1839120	Signaling by FGFR1 amplification mutants	Homo sapiens	Disease
12747	R-HSA-5655302	Signaling by FGFR1 in disease	Homo sapiens	Disease
12748	R-HSA-5654738	Signaling by FGFR2	Homo sapiens	Signal Transduction
12749	R-HSA-8851708	Signaling by FGFR2 IIIa TM	Homo sapiens	Disease
12750	R-HSA-2023837	Signaling by FGFR2 amplification mutants	Homo sapiens	Disease
12751	R-HSA-8853333	Signaling by FGFR2 fusions	Homo sapiens	Disease
12752	R-HSA-5655253	Signaling by FGFR2 in disease	Homo sapiens	Disease
12753	R-HSA-5654741	Signaling by FGFR3	Homo sapiens	Signal Transduction
12754	R-HSA-8853334	Signaling by FGFR3 fusions in cancer	Homo sapiens	Disease
12755	R-HSA-5655332	Signaling by FGFR3 in disease	Homo sapiens	Disease
12756	R-HSA-5654743	Signaling by FGFR4	Homo sapiens	Signal Transduction
12757	R-HSA-5655291	Signaling by FGFR4 in disease	Homo sapiens	Disease
12758	R-HSA-9703648	Signaling by FLT3 ITD and TKD mutants	Homo sapiens	Disease
12759	R-HSA-9703465	Signaling by FLT3 fusion proteins	Homo sapiens	Disease
12760	R-HSA-372790	Signaling by GPCR	Homo sapiens	Signal Transduction
12761	R-HSA-5339716	Signaling by GSK3beta mutants	Homo sapiens	Disease
12762	R-HSA-5358351	Signaling by Hedgehog	Homo sapiens	Signal Transduction
12763	R-HSA-2028269	Signaling by Hippo	Homo sapiens	Signal Transduction
12764	R-HSA-74752	Signaling by Insulin receptor	Homo sapiens	Signal Transduction
12765	R-HSA-449147	Signaling by Interleukins	Homo sapiens	Immune System
12766	R-HSA-9669938	Signaling by KIT in disease	Homo sapiens	Disease
12767	R-HSA-5339717	Signaling by LRP5 mutants 	Homo sapiens	Disease
12768	R-HSA-2586552	Signaling by Leptin	Homo sapiens	Signal Transduction
12769	R-HSA-5637815	Signaling by Ligand-Responsive EGFR Variants in Cancer	Homo sapiens	Disease
12770	R-HSA-9652169	Signaling by MAP2K mutants	Homo sapiens	Disease
12771	R-HSA-9652817	Signaling by MAPK mutants	Homo sapiens	Disease
12772	R-HSA-6806834	Signaling by MET	Homo sapiens	Signal Transduction
12773	R-HSA-9660537	Signaling by MRAS-complex mutants	Homo sapiens	Disease
12774	R-HSA-8852405	Signaling by MST1	Homo sapiens	Signal Transduction
12775	R-HSA-1181150	Signaling by NODAL	Homo sapiens	Developmental Biology
12776	R-HSA-157118	Signaling by NOTCH	Homo sapiens	Signal Transduction
12777	R-HSA-1980143	Signaling by NOTCH1	Homo sapiens	Signal Transduction
12778	R-HSA-2691230	Signaling by NOTCH1 HD Domain Mutants in Cancer	Homo sapiens	Disease
12779	R-HSA-2894858	Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer	Homo sapiens	Disease
12780	R-HSA-2644602	Signaling by NOTCH1 PEST Domain Mutants in Cancer	Homo sapiens	Disease
12781	R-HSA-2644603	Signaling by NOTCH1 in Cancer	Homo sapiens	Disease
12782	R-HSA-2660825	Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant	Homo sapiens	Disease
12783	R-HSA-1980145	Signaling by NOTCH2	Homo sapiens	Signal Transduction
12784	R-HSA-9012852	Signaling by NOTCH3	Homo sapiens	Signal Transduction
12785	R-HSA-9013694	Signaling by NOTCH4	Homo sapiens	Signal Transduction
12786	R-HSA-187037	Signaling by NTRK1 (TRKA)	Homo sapiens	Signal Transduction
12787	R-HSA-9006115	Signaling by NTRK2 (TRKB)	Homo sapiens	Signal Transduction
12788	R-HSA-9034015	Signaling by NTRK3 (TRKC)	Homo sapiens	Signal Transduction
12789	R-HSA-166520	Signaling by NTRKs	Homo sapiens	Signal Transduction
12790	R-HSA-9006927	Signaling by Non-Receptor Tyrosine Kinases	Homo sapiens	Signal Transduction
12791	R-HSA-9006931	Signaling by Nuclear Receptors	Homo sapiens	Signal Transduction
12792	R-HSA-5638302	Signaling by Overexpressed Wild-Type EGFR in Cancer	Homo sapiens	Disease
12793	R-HSA-186797	Signaling by PDGF	Homo sapiens	Signal Transduction
12794	R-HSA-9671555	Signaling by PDGFR in disease	Homo sapiens	Disease
12795	R-HSA-9673770	Signaling by PDGFRA extracellular domain mutants	Homo sapiens	Disease
12796	R-HSA-9673767	Signaling by PDGFRA transmembrane, juxtamembrane and kinase domain mutants	Homo sapiens	Disease
12797	R-HSA-8848021	Signaling by PTK6	Homo sapiens	Signal Transduction
12798	R-HSA-9656223	Signaling by RAF1 mutants	Homo sapiens	Disease
12799	R-HSA-9753510	Signaling by RAS GAP mutants	Homo sapiens	Disease
12800	R-HSA-9753512	Signaling by RAS GTPase mutants	Homo sapiens	Disease
12801	R-HSA-6802949	Signaling by RAS mutants	Homo sapiens	Disease
12802	R-HSA-5340588	Signaling by RNF43 mutants	Homo sapiens	Disease
12803	R-HSA-376176	Signaling by ROBO receptors	Homo sapiens	Developmental Biology
12804	R-HSA-9006934	Signaling by Receptor Tyrosine Kinases	Homo sapiens	Signal Transduction
12805	R-HSA-5362517	Signaling by Retinoic Acid	Homo sapiens	Signal Transduction
12806	R-HSA-194315	Signaling by Rho GTPases	Homo sapiens	Signal Transduction
12807	R-HSA-9716542	Signaling by Rho GTPases, Miro GTPases and RHOBTB3	Homo sapiens	Signal Transduction
12808	R-HSA-1433557	Signaling by SCF-KIT	Homo sapiens	Signal Transduction
12809	R-HSA-5339700	Signaling by TCF7L2 mutants	Homo sapiens	Disease
12810	R-HSA-170834	Signaling by TGF-beta Receptor Complex	Homo sapiens	Signal Transduction
12811	R-HSA-3304351	Signaling by TGF-beta Receptor Complex in Cancer	Homo sapiens	Disease
12812	R-HSA-9006936	Signaling by TGFB family members	Homo sapiens	Signal Transduction
12813	R-HSA-2404192	Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)	Homo sapiens	Signal Transduction
12814	R-HSA-194138	Signaling by VEGF	Homo sapiens	Signal Transduction
12815	R-HSA-195721	Signaling by WNT	Homo sapiens	Signal Transduction
12816	R-HSA-4791275	Signaling by WNT in cancer	Homo sapiens	Disease
12817	R-HSA-1839122	Signaling by activated point mutants of FGFR1	Homo sapiens	Disease
12818	R-HSA-1839130	Signaling by activated point mutants of FGFR3	Homo sapiens	Disease
12819	R-HSA-1839117	Signaling by cytosolic FGFR1 fusion mutants	Homo sapiens	Disease
12820	R-HSA-9673766	Signaling by cytosolic PDGFRA and PDGFRB fusion proteins	Homo sapiens	Disease
12821	R-HSA-9680187	Signaling by extracellular domain mutants of KIT	Homo sapiens	Disease
12822	R-HSA-6802948	Signaling by high-kinase activity BRAF mutants	Homo sapiens	Disease
12823	R-HSA-9669935	Signaling by juxtamembrane domain KIT mutants	Homo sapiens	Disease
12824	R-HSA-9669933	Signaling by kinase domain mutants of KIT	Homo sapiens	Disease
12825	R-HSA-9673768	Signaling by membrane-tethered fusions of PDGFRA or PDGFRB	Homo sapiens	Disease
12826	R-HSA-6802946	Signaling by moderate kinase activity BRAF mutants	Homo sapiens	Disease
12827	R-HSA-9670439	Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants	Homo sapiens	Disease
12828	R-HSA-8853336	Signaling by plasma membrane FGFR1 fusions	Homo sapiens	Disease
12829	R-HSA-983705	Signaling by the B Cell Receptor (BCR)	Homo sapiens	Immune System
12830	R-HSA-9649948	Signaling downstream of RAS mutants	Homo sapiens	Disease
12831	R-HSA-198765	Signalling to ERK5	Homo sapiens	Signal Transduction
12832	R-HSA-187687	Signalling to ERKs	Homo sapiens	Signal Transduction
12833	R-HSA-167044	Signalling to RAS	Homo sapiens	Signal Transduction
12834	R-HSA-198745	Signalling to STAT3	Homo sapiens	Signal Transduction
12835	R-HSA-187706	Signalling to p38 via RIT and RIN	Homo sapiens	Signal Transduction
12836	R-HSA-426486	Small interfering RNA (siRNA) biogenesis	Homo sapiens	Gene expression (Transcription)
12837	R-HSA-445355	Smooth Muscle Contraction	Homo sapiens	Muscle contraction
12838	R-HSA-427652	Sodium-coupled phosphate cotransporters	Homo sapiens	Transport of small molecules
12839	R-HSA-433137	Sodium-coupled sulphate, di- and tri-carboxylate transporters	Homo sapiens	Transport of small molecules
12840	R-HSA-425561	Sodium/Calcium exchangers	Homo sapiens	Transport of small molecules
12841	R-HSA-425986	Sodium/Proton exchangers	Homo sapiens	Transport of small molecules
12842	R-HSA-9824272	Somitogenesis	Homo sapiens	Developmental Biology
12843	R-HSA-9669936	Sorafenib-resistant KIT mutants	Homo sapiens	Disease
12844	R-HSA-9674404	Sorafenib-resistant PDGFR mutants	Homo sapiens	Disease
12845	R-HSA-9827857	Specification of primordial germ cells	Homo sapiens	Reproduction
12846	R-HSA-1300642	Sperm Motility And Taxes	Homo sapiens	Reproduction
12847	R-HSA-1660661	Sphingolipid de novo biosynthesis	Homo sapiens	Metabolism
12848	R-HSA-428157	Sphingolipid metabolism	Homo sapiens	Metabolism
12849	R-HSA-1295596	Spry regulation of FGF signaling	Homo sapiens	Signal Transduction
12850	R-HSA-69541	Stabilization of p53	Homo sapiens	Cell Cycle
12851	R-HSA-211994	Sterols are 12-hydroxylated by CYP8B1	Homo sapiens	Metabolism
12852	R-HSA-211736	Stimulation of the cell death response by PAK-2p34	Homo sapiens	Programmed Cell Death
12853	R-HSA-2672351	Stimuli-sensing channels	Homo sapiens	Transport of small molecules
12854	R-HSA-390522	Striated Muscle Contraction	Homo sapiens	Muscle contraction
12855	R-HSA-1614517	Sulfide oxidation to sulfate	Homo sapiens	Metabolism
12856	R-HSA-1614635	Sulfur amino acid metabolism	Homo sapiens	Metabolism
12857	R-HSA-9669934	Sunitinib-resistant KIT mutants	Homo sapiens	Disease
12858	R-HSA-9674401	Sunitinib-resistant PDGFR mutants	Homo sapiens	Disease
12859	R-HSA-9635465	Suppression of apoptosis	Homo sapiens	Disease
12860	R-HSA-9636569	Suppression of autophagy	Homo sapiens	Disease
12861	R-HSA-9637687	Suppression of phagosomal maturation	Homo sapiens	Disease
12862	R-HSA-5683826	Surfactant metabolism	Homo sapiens	Metabolism of proteins
12863	R-HSA-69052	Switching of origins to a post-replicative state	Homo sapiens	Cell Cycle
12864	R-HSA-8849932	Synaptic adhesion-like molecules	Homo sapiens	Neuronal System
12865	R-HSA-3000170	Syndecan interactions	Homo sapiens	Extracellular matrix organization
12866	R-HSA-174495	Synthesis And Processing Of GAG, GAGPOL Polyproteins	Homo sapiens	Disease
12867	R-HSA-171286	Synthesis and processing of ENV and VPU	Homo sapiens	Disease
12868	R-HSA-2142816	Synthesis of (16-20)-hydroxyeicosatetraenoic acids (HETE)	Homo sapiens	Metabolism
12869	R-HSA-2142712	Synthesis of 12-eicosatetraenoic acid derivatives	Homo sapiens	Metabolism
12870	R-HSA-2142770	Synthesis of 15-eicosatetraenoic acid derivatives	Homo sapiens	Metabolism
12871	R-HSA-2142688	Synthesis of 5-eicosatetraenoic acids	Homo sapiens	Metabolism
12872	R-HSA-1483171	Synthesis of BMP	Homo sapiens	Metabolism
12873	R-HSA-1483076	Synthesis of CL	Homo sapiens	Metabolism
12874	R-HSA-69239	Synthesis of DNA	Homo sapiens	Cell Cycle
12875	R-HSA-446199	Synthesis of Dolichyl-phosphate	Homo sapiens	Metabolism of proteins
12876	R-HSA-446205	Synthesis of GDP-mannose	Homo sapiens	Metabolism of proteins
12877	R-HSA-2142696	Synthesis of Hepoxilins (HX) and Trioxilins (TrX)	Homo sapiens	Metabolism
12878	R-HSA-1855183	Synthesis of IP2, IP, and Ins in the cytosol	Homo sapiens	Metabolism
12879	R-HSA-1855204	Synthesis of IP3 and IP4 in the cytosol	Homo sapiens	Metabolism
12880	R-HSA-1855231	Synthesis of IPs in the ER lumen	Homo sapiens	Metabolism
12881	R-HSA-1855191	Synthesis of IPs in the nucleus	Homo sapiens	Metabolism
12882	R-HSA-77111	Synthesis of Ketone Bodies	Homo sapiens	Metabolism
12883	R-HSA-2142691	Synthesis of Leukotrienes (LT) and Eoxins (EX)	Homo sapiens	Metabolism
12884	R-HSA-2142700	Synthesis of Lipoxins (LX)	Homo sapiens	Metabolism
12885	R-HSA-1483166	Synthesis of PA	Homo sapiens	Metabolism
12886	R-HSA-1483191	Synthesis of PC	Homo sapiens	Metabolism
12887	R-HSA-1483213	Synthesis of PE	Homo sapiens	Metabolism
12888	R-HSA-1483148	Synthesis of PG	Homo sapiens	Metabolism
12889	R-HSA-1483226	Synthesis of PI	Homo sapiens	Metabolism
12890	R-HSA-1483248	Synthesis of PIPs at the ER membrane	Homo sapiens	Metabolism
12891	R-HSA-1660514	Synthesis of PIPs at the Golgi membrane	Homo sapiens	Metabolism
12892	R-HSA-1660516	Synthesis of PIPs at the early endosome membrane	Homo sapiens	Metabolism
12893	R-HSA-1660517	Synthesis of PIPs at the late endosome membrane	Homo sapiens	Metabolism
12894	R-HSA-1660499	Synthesis of PIPs at the plasma membrane	Homo sapiens	Metabolism
12895	R-HSA-8847453	Synthesis of PIPs in the nucleus	Homo sapiens	Metabolism
12896	R-HSA-1483101	Synthesis of PS	Homo sapiens	Metabolism
12897	R-HSA-2162123	Synthesis of Prostaglandins (PG) and Thromboxanes (TX)	Homo sapiens	Metabolism
12898	R-HSA-446210	Synthesis of UDP-N-acetyl-glucosamine	Homo sapiens	Metabolism of proteins
12899	R-HSA-8866652	Synthesis of active ubiquitin: roles of E1 and E2 enzymes	Homo sapiens	Metabolism of proteins
12900	R-HSA-192105	Synthesis of bile acids and bile salts	Homo sapiens	Metabolism
12901	R-HSA-193775	Synthesis of bile acids and bile salts via 24-hydroxycholesterol	Homo sapiens	Metabolism
12902	R-HSA-193807	Synthesis of bile acids and bile salts via 27-hydroxycholesterol	Homo sapiens	Metabolism
12903	R-HSA-193368	Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol	Homo sapiens	Metabolism
12904	R-HSA-5358493	Synthesis of diphthamide-EEF2	Homo sapiens	Metabolism of proteins
12905	R-HSA-162699	Synthesis of dolichyl-phosphate mannose	Homo sapiens	Metabolism of proteins
12906	R-HSA-480985	Synthesis of dolichyl-phosphate-glucose	Homo sapiens	Metabolism of proteins
12907	R-HSA-2142670	Synthesis of epoxy (EET) and dihydroxyeicosatrienoic acids (DHET)	Homo sapiens	Metabolism
12908	R-HSA-162710	Synthesis of glycosylphosphatidylinositol (GPI)	Homo sapiens	Metabolism of proteins
